step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,132,4,0.3397167415796866,0.0,0.0,0.3284235743394674,0.0,0.0,,,,,,
2,264,8,0.33992728424651436,0.0,0.0,,,,,,,,,
3,364,12,0.29915851721918446,0.0,0.0,,,,,,,,,
4,496,16,0.17260235608358923,0.0,0.0,,,,,,,,,
5,628,20,0.09438264233060181,0.25,0.25,,,,,,,,,
6,760,24,0.043744385893223804,1.0,1.0,,,,,,,,,
7,892,28,0.08099536982539576,0.75,0.75,,,,,,,,,
8,1024,32,0.11399636555957841,0.5,0.5,,,,,,,,,
9,1124,36,0.11557384717743845,0.25,0.25,0.09294201275566592,0.5,0.5,,,,,,
10,1256,40,0.07529436018317938,0.75,0.75,,,,,,,,,
11,1388,44,0.10711897401371971,0.25,0.25,,,,,,,,,
12,1520,48,0.08666310062864795,0.5,0.5,,,,,,,,,
13,1652,52,0.0890970373689197,0.25,0.25,,,,,,,,,
14,1784,56,0.08052790489047765,0.5,0.5,,,,,,,,,
15,1916,60,0.05436473465524615,1.0,1.0,,,,,,,,,
16,2048,64,0.047193799597444006,1.0,1.0,,,,,,,,,
17,2180,68,0.06635621366091073,0.75,0.75,0.10384607435145882,0.5,0.5,,,,,,
18,2280,72,0.07199334012965361,0.75,0.75,,,,,,,,,
19,2412,76,0.06893098523258231,0.75,0.75,,,,,,,,,
20,2544,80,0.09527587914431933,0.5,0.5,,,,,,,,,
21,2676,84,0.06909302311105421,0.75,0.75,,,,,,,,,
22,2776,88,0.09382965440008169,0.5,0.5,,,,,,,,,
23,2908,92,0.04967222179984673,0.75,0.75,,,,,,,,,
24,3040,96,0.060374846726190305,0.75,0.75,,,,,,,,,
25,3172,100,0.061607528954045844,0.5,0.5,0.06375493837054819,0.75,0.75,,,,,,
26,3304,104,0.057159491132479166,0.75,0.75,,,,,,,,,
27,3436,108,0.07382179491221906,0.5,0.5,,,,,,,,,
28,3568,112,0.06422428256249987,0.25,0.25,,,,,,,,,
29,3700,116,0.06383774802961853,0.5,0.5,,,,,,,,,
30,3832,120,0.06344699804991251,0.25,0.25,,,,,,,,,
31,3932,124,0.044675569184279694,1.0,1.0,,,,,,,,,
32,4064,128,0.041320136231515786,0.75,0.75,,,,,,,,,
33,4164,132,0.0709800598207706,0.5,0.5,0.07543014364782721,0.5,0.5,,,,,,
34,4296,136,0.049088094494509286,0.75,0.75,,,,,,,,,
35,4396,140,0.07700455646147021,0.25,0.25,,,,,,,,,
36,4528,144,0.05348012422349712,0.5,0.5,,,,,,,,,
37,4628,148,0.051531780451866016,0.75,0.75,,,,,,,,,
38,4760,152,0.044014441661856835,1.0,1.0,,,,,,,,,
39,4892,156,0.03378281041208538,1.0,1.0,,,,,,,,,
40,5024,160,0.036221529818431006,0.75,0.75,,,,,,,,,
41,5156,164,0.03734036414054572,0.75,0.75,0.03896338886173908,1.0,1.0,,,,,,
42,5288,168,0.059102583710555344,0.0,0.0,,,,,,,,,
43,5420,172,0.045252800130256225,1.0,1.0,,,,,,,,,
44,5552,176,0.0627153158794681,0.25,0.25,,,,,,,,,
45,5652,180,0.03285227758363665,1.0,1.0,,,,,,,,,
46,5784,184,0.05639307507430203,0.5,0.5,,,,,,,,,
47,5884,188,0.04062996882693066,0.75,0.75,,,,,,,,,
48,5984,192,0.07010899082136651,0.25,0.25,,,,,,,,,
49,6116,196,0.03955861239577643,1.0,1.0,0.039226547911336326,1.0,1.0,,,,,,
50,6248,200,0.041716918838355925,1.0,1.0,,,,,,,,,
51,6380,204,0.03932290414741147,1.0,1.0,,,,,,,,,
52,6512,208,0.037579205860711236,1.0,1.0,,,,,,,,,
53,6644,212,0.05013835012450728,0.5,0.5,,,,,,,,,
54,6776,216,0.04616583752398583,0.5,0.5,,,,,,,,,
55,6876,220,0.049624098645314606,0.75,0.75,,,,,,,,,
56,7008,224,0.03380416844551291,0.75,0.75,,,,,,,,,
57,7108,228,0.03252909951125426,1.0,1.0,0.04357072948925633,0.75,0.75,,,,,,
58,7240,232,0.04005062844098575,0.75,0.75,,,,,,,,,
59,7340,236,0.06114919853260895,0.5,0.5,,,,,,,,,
60,7472,240,0.02908576749149688,1.0,1.0,,,,,,,,,
61,7604,244,0.04561284808319214,0.75,0.75,,,,,,,,,
62,7736,248,0.029209169532596203,1.0,1.0,,,,,,,,,
63,7868,252,0.02376714721467579,1.0,1.0,,,,,,,,,
64,8000,256,0.02513980820964207,1.0,1.0,,,,,,,,,
65,8100,260,0.057486077217957544,0.75,0.75,0.035773310421245694,0.75,0.75,,,,,,
66,8232,264,0.02950064587061206,0.75,0.75,,,,,,,,,
67,8364,268,0.04901218390337818,0.75,0.75,,,,,,,,,
68,8496,272,0.057435185417252795,0.5,0.5,,,,,,,,,
69,8596,276,0.0521029883439284,0.5,0.5,,,,,,,,,
70,8728,280,0.03811639495332202,0.75,0.75,,,,,,,,,
71,8828,284,0.03703010775876464,1.0,1.0,,,,,,,,,
72,8960,288,0.027701449830074124,1.0,1.0,,,,,,,,,
73,9092,292,0.022435661017661913,1.0,1.0,0.03505408063389041,0.75,0.75,,,,,,
74,9224,296,0.03837936248335609,0.75,0.75,,,,,,,,,
75,9356,300,0.04353707547135854,0.75,0.75,,,,,,,,,
76,9488,304,0.07564382650180052,0.25,0.25,,,,,,,,,
77,9620,308,0.023708731340229865,1.0,1.0,,,,,,,,,
78,9752,312,0.03374532248551987,0.5,0.5,,,,,,,,,
79,9884,316,0.026103501191319087,1.0,1.0,,,,,,,,,
80,10016,320,0.032461252004086415,1.0,1.0,,,,,,,,,
81,10148,324,0.03693962402310717,0.75,0.75,0.05804835479233588,0.5,0.5,,,,,,
82,10248,328,0.060584685131567916,0.5,0.5,,,,,,,,,
83,10348,332,0.025507882080031175,1.0,1.0,,,,,,,,,
84,10480,336,0.036483986074563296,0.75,0.75,,,,,,,,,
85,10612,340,0.03124781851132866,1.0,1.0,,,,,,,,,
86,10744,344,0.044542151600617225,0.75,0.75,,,,,,,,,
87,10876,348,0.02843388178593159,1.0,1.0,,,,,,,,,
88,10944,352,0.02693039368819882,1.0,1.0,,,,,,,,,
89,11076,356,0.03748847932100034,0.75,0.75,0.03855640511334059,0.75,0.75,,,,,,
90,11208,360,0.04904585536896775,0.5,0.5,,,,,,,,,
91,11308,364,0.03526177576910414,1.0,1.0,,,,,,,,,
92,11440,368,0.04390463063280549,0.5,0.5,,,,,,,,,
93,11572,372,0.029592505955961315,0.75,0.75,,,,,,,,,
94,11704,376,0.0293075692309867,1.0,1.0,,,,,,,,,
95,11836,380,0.04138783233524009,0.5,0.5,,,,,,,,,
96,11968,384,0.03346919172865455,0.75,0.75,,,,,,,,,
97,12068,388,0.049507548579567816,0.75,0.75,0.023898178567833384,1.0,1.0,,,,,,
98,12200,392,0.0389575620794858,0.75,0.75,,,,,,,,,
99,12332,396,0.027886120108237263,1.0,1.0,,,,,,,,,
100,12464,400,0.02296388736272092,1.0,1.0,,,,,,,,,
101,12596,404,0.043286297357281,0.5,0.5,,,,,,,,,
102,12728,408,0.026267593148922967,1.0,1.0,,,,,,,,,
103,12828,412,0.052170803491135315,0.5,0.5,,,,,,,,,
104,12960,416,0.02022603022810472,1.0,1.0,,,,,,,,,
105,13092,420,0.04415595840328024,0.75,0.75,0.0365598173401304,0.75,0.75,,,,,,
106,13224,424,0.01975285246680869,1.0,1.0,,,,,,,,,
107,13356,428,0.03183937192779013,0.75,0.75,,,,,,,,,
108,13456,432,0.020209614676132335,1.0,1.0,,,,,,,,,
109,13588,436,0.025221983900191848,1.0,1.0,,,,,,,,,
110,13720,440,0.036952285366237445,0.5,0.5,,,,,,,,,
111,13820,444,0.06366204738230105,0.5,0.5,,,,,,,,,
112,13952,448,0.024527629208578223,1.0,1.0,,,,,,,,,
113,14084,452,0.020354720542436554,1.0,1.0,0.020450391404980714,1.0,1.0,,,,,,
114,14216,456,0.06637934693991156,0.5,0.5,,,,,,,,,
115,14348,460,0.04149288338840051,0.75,0.75,,,,,,,,,
116,14480,464,0.01747297530027936,1.0,1.0,,,,,,,,,
117,14612,468,0.020516342653154426,1.0,1.0,,,,,,,,,
118,14712,472,0.030227524670190187,1.0,1.0,,,,,,,,,
119,14844,476,0.027062091308853266,1.0,1.0,,,,,,,,,
120,14976,480,0.021183704888107967,1.0,1.0,,,,,,,,,
121,15108,484,0.03211955287644742,0.5,0.5,0.023594181132393716,1.0,1.0,,,,,,
122,15240,488,0.02263016846422943,0.75,0.75,,,,,,,,,
123,15372,492,0.017936720128564048,1.0,1.0,,,,,,,,,
124,15504,496,0.033772178968538354,0.75,0.75,,,,,,,,,
125,15636,500,0.02324328313852675,1.0,1.0,,,,,,,,,
126,15768,504,0.04119011098589908,0.75,0.75,,,,,,,,,
127,15900,508,0.023160275939553686,1.0,1.0,,,,,,,,,
128,16000,512,0.020476896128529917,1.0,1.0,,,,,,,,,
129,16132,516,0.044709711079322006,0.75,0.75,0.02043703362809538,1.0,1.0,,,,,,
130,16264,520,0.029732426068330823,0.75,0.75,,,,,,,,,
131,16396,524,0.03551211750294898,0.75,0.75,,,,,,,,,
132,16528,528,0.06762410296225425,0.5,0.5,,,,,,,,,
133,16660,532,0.02846851042188064,0.75,0.75,,,,,,,,,
134,16792,536,0.018630721415684094,1.0,1.0,,,,,,,,,
135,16924,540,0.033255209422422924,0.75,0.75,,,,,,,,,
136,17024,544,0.02967202399304369,0.75,0.75,,,,,,,,,
137,17156,548,0.019265200552763418,1.0,1.0,0.01780977233138401,1.0,1.0,,,,,,
138,17288,552,0.028298364107104134,1.0,1.0,,,,,,,,,
139,17420,556,0.02872402704540946,0.75,0.75,,,,,,,,,
140,17552,560,0.02122167182027624,1.0,1.0,,,,,,,,,
141,17684,564,0.02997676181170391,0.75,0.75,,,,,,,,,
142,17816,568,0.03377304907324287,0.75,0.75,,,,,,,,,
143,17948,572,0.02185663710726658,1.0,1.0,,,,,,,,,
144,18080,576,0.04171892038624718,0.75,0.75,,,,,,,,,
145,18212,580,0.05192849879163987,0.5,0.5,0.018996673006549825,1.0,1.0,,,,,,
146,18344,584,0.02243785784687134,1.0,1.0,,,,,,,,,
147,18476,588,0.023479341309835037,1.0,1.0,,,,,,,,,
148,18608,592,0.02764536679787398,0.75,0.75,,,,,,,,,
149,18740,596,0.02480031100148608,0.75,0.75,,,,,,,,,
150,18872,600,0.05198595267832388,0.75,0.75,,,,,,,,,
151,19004,604,0.022601887406626702,1.0,1.0,,,,,,,,,
152,19104,608,0.02399392745947201,1.0,1.0,,,,,,,,,
153,19236,612,0.026077918891784294,1.0,1.0,0.03881458142730025,0.75,0.75,,,,,,
154,19368,616,0.03989362873934852,0.5,0.5,,,,,,,,,
155,19500,620,0.027574190634991284,1.0,1.0,,,,,,,,,
156,19632,624,0.02360754655260848,1.0,1.0,,,,,,,,,
157,19732,628,0.026164555576841244,1.0,1.0,,,,,,,,,
158,19864,632,0.02922290603684246,0.75,0.75,,,,,,,,,
159,19996,636,0.028616525717778812,1.0,1.0,,,,,,,,,
160,20096,640,0.02136314028644847,1.0,1.0,,,,,,,,,
161,20228,644,0.04383508585840615,0.75,0.75,0.0286352388067769,1.0,1.0,,,,,,
162,20360,648,0.03692439702248009,0.5,0.5,,,,,,,,,
