step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,528,16,0.3716538846250387,0.0,0.0,0.3339486358729255,0.0,0.0,,,,,,
2,1056,32,0.335103122938599,0.0,0.0,,,,,,,,,
3,1584,48,0.2514287428237185,0.0,0.0,,,,,,,,,
4,2112,64,0.15349480171131288,0.0,0.0,,,,,,,,,
5,2640,80,0.0773250576814462,0.5625,0.5625,,,,,,,,,
6,3168,96,0.06288830103643704,0.6875,0.6875,,,,,,,,,
7,3696,112,0.07170702285169683,0.625,0.625,,,,,,,,,
8,4224,128,0.06645907819111016,0.625,0.625,,,,,,,,,
9,4752,144,0.07304099607456009,0.375,0.375,0.06670096105954143,0.6875,0.6875,,,,,,
10,5280,160,0.05962317824218189,0.6875,0.6875,,,,,,,,,
11,5808,176,0.06252483269345248,0.75,0.75,,,,,,,,,
12,6336,192,0.055326870174612845,0.6875,0.6875,,,,,,,,,
13,6864,208,0.06107004972989671,0.5625,0.5625,,,,,,,,,
14,7392,224,0.05467056110413979,0.6875,0.6875,,,,,,,,,
15,7920,240,0.05463528044914711,0.5,0.5,,,,,,,,,
16,8448,256,0.05420473684876924,0.375,0.375,,,,,,,,,
17,8976,272,0.05296953148150351,0.5625,0.5625,0.05224915383791085,0.6875,0.6875,,,,,,
18,9504,288,0.04672218425723258,0.6875,0.6875,,,,,,,,,
19,10032,304,0.04390818445870537,0.6875,0.6875,,,,,,,,,
20,10560,320,0.05324156313727144,0.625,0.625,,,,,,,,,
21,11088,336,0.04228063390401075,0.75,0.75,,,,,,,,,
22,11616,352,0.03400151985915727,0.875,0.875,,,,,,,,,
23,12144,368,0.0430274152020138,0.75,0.75,,,,,,,,,
24,12672,384,0.05018231658312289,0.5625,0.5625,,,,,,,,,
25,13200,400,0.042974696944002064,0.6875,0.6875,0.04279034944815066,0.5625,0.5625,,,,,,
26,13728,416,0.04395555217870424,0.6875,0.6875,,,,,,,,,
27,14256,432,0.04683753565586813,0.5625,0.5625,,,,,,,,,
28,14784,448,0.04250827796939121,0.625,0.625,,,,,,,,,
29,15312,464,0.05123884509099298,0.4375,0.4375,,,,,,,,,
30,15840,480,0.04017063508645151,0.5625,0.5625,,,,,,,,,
31,16368,496,0.04813340372093081,0.75,0.75,,,,,,,,,
32,16896,512,0.03748485567099124,0.5625,0.5625,,,,,,,,,
33,17424,528,0.044658008837850496,0.5,0.5,0.044819854159704846,0.625,0.625,,,,,,
34,17952,544,0.03189481565277674,0.8125,0.8125,,,,,,,,,
35,18480,560,0.03645832927177253,0.875,0.875,,,,,,,,,
36,19008,576,0.0481665126376265,0.5625,0.5625,,,,,,,,,
37,19536,592,0.03619253783984277,0.75,0.75,,,,,,,,,
38,20064,608,0.042651024649908324,0.6875,0.6875,,,,,,,,,
39,20592,624,0.03762722827833387,0.5625,0.5625,,,,,,,,,
40,21120,640,0.03887394585121001,0.75,0.75,,,,,,,,,
41,21648,656,0.045844083649449203,0.5625,0.5625,0.03816272293920065,0.75,0.75,,,,,,
42,22176,672,0.03276621836304002,0.8125,0.8125,,,,,,,,,
43,22704,688,0.045137467691083656,0.625,0.625,,,,,,,,,
44,23232,704,0.030756602447786465,0.8125,0.8125,,,,,,,,,
45,23760,720,0.03806349339612097,0.625,0.625,,,,,,,,,
46,24288,736,0.04108771745815829,0.4375,0.4375,,,,,,,,,
47,24816,752,0.033884869544845056,0.875,0.875,,,,,,,,,
48,25344,768,0.042353369817983544,0.4375,0.4375,,,,,,,,,
49,25872,784,0.03599303953505114,0.6875,0.6875,0.03496721497311228,0.5625,0.5625,,,,,,
50,26400,800,0.036219489489926676,0.75,0.75,,,,,,,,,
51,26928,816,0.033082257607134125,0.75,0.75,,,,,,,,,
52,27456,832,0.040721572186594134,0.5,0.5,,,,,,,,,
53,27984,848,0.03377830874727124,0.625,0.625,,,,,,,,,
54,28512,864,0.03889140297464565,0.5625,0.5625,,,,,,,,,
55,29040,880,0.03437007935193151,0.5625,0.5625,,,,,,,,,
56,29568,896,0.03606386563925525,0.625,0.625,,,,,,,,,
57,30096,912,0.031567053865105665,0.75,0.75,0.0401828410786311,0.3125,0.3125,,,,,,
58,30624,928,0.04002760374417676,0.375,0.375,,,,,,,,,
59,31152,944,0.025963880270858226,0.9375,0.9375,,,,,,,,,
60,31680,960,0.02994017708272054,0.875,0.875,,,,,,,,,
61,32208,976,0.031307793043273476,0.6875,0.6875,,,,,,,,,
62,32736,992,0.03816867493116661,0.6875,0.6875,,,,,,,,,
63,33264,1008,0.034255175518388796,0.6875,0.6875,,,,,,,,,
64,33792,1024,0.023960417399604236,0.75,0.75,,,,,,,,,
65,34320,1040,0.0314088965347969,0.75,0.75,0.04576832439395124,0.5625,0.5625,,,,,,
66,34848,1056,0.03414463999136274,0.6875,0.6875,,,,,,,,,
67,35376,1072,0.044764224229742244,0.375,0.375,,,,,,,,,
68,35904,1088,0.03549831157188692,0.625,0.625,,,,,,,,,
69,36432,1104,0.03661287100019991,0.5625,0.5625,,,,,,,,,
70,36960,1120,0.03403072740649577,0.6875,0.6875,,,,,,,,,
71,37488,1136,0.026569435032631646,0.8125,0.8125,,,,,,,,,
72,38016,1152,0.02989415772608595,0.6875,0.6875,,,,,,,,,
73,38544,1168,0.036918825741510085,0.6875,0.6875,0.03156586018289886,0.8125,0.8125,,,,,,
74,38944,1184,0.044157114329767266,0.75,0.75,,,,,,,,,
75,39472,1200,0.03055978252035743,0.75,0.75,,,,,,,,,
76,40000,1216,0.036939194468606044,0.625,0.625,,,,,,,,,
77,40528,1232,0.028241384938903595,0.75,0.75,,,,,,,,,
78,41056,1248,0.036173913057525625,0.5,0.5,,,,,,,,,
79,41584,1264,0.026745893157860794,0.8125,0.8125,,,,,,,,,
80,42112,1280,0.0343467158633473,0.625,0.625,,,,,,,,,
81,42640,1296,0.03812434275926535,0.3125,0.3125,0.03463227902030212,0.625,0.625,,,,,,
82,43168,1312,0.02992567317674912,0.8125,0.8125,,,,,,,,,
83,43696,1328,0.031568473253806816,0.625,0.625,,,,,,,,,
84,44224,1344,0.039629995916520784,0.5,0.5,,,,,,,,,
85,44752,1360,0.030791773381208712,0.5,0.5,,,,,,,,,
86,45280,1376,0.030758104510100567,0.625,0.625,,,,,,,,,
87,45808,1392,0.03657785356859108,0.5625,0.5625,,,,,,,,,
88,46336,1408,0.0270179140336154,0.8125,0.8125,,,,,,,,,
89,46864,1424,0.036372712477294726,0.5625,0.5625,0.033317685166463204,0.625,0.625,,,,,,
90,47392,1440,0.03537031369569377,0.625,0.625,,,,,,,,,
91,47920,1456,0.03194427287408416,0.75,0.75,,,,,,,,,
92,48448,1472,0.02637816099060046,0.8125,0.8125,,,,,,,,,
93,48976,1488,0.03277940196167038,0.4375,0.4375,,,,,,,,,
94,49504,1504,0.029151608461912705,0.9375,0.9375,,,,,,,,,
95,50032,1520,0.0336616430126719,0.625,0.625,,,,,,,,,
96,50560,1536,0.033978439257366516,0.625,0.625,,,,,,,,,
97,51088,1552,0.034960387053183696,0.625,0.625,0.03447317889086776,0.5625,0.5625,,,,,,
98,51616,1568,0.02691604728775019,0.9375,0.9375,,,,,,,,,
99,52144,1584,0.03345772533329239,0.6875,0.6875,,,,,,,,,
100,52672,1600,0.03450394496127274,0.625,0.625,,,,,,,,,
101,53200,1616,0.03815179589718412,0.5,0.5,,,,,,,,,
102,53728,1632,0.030825216182018948,0.6875,0.6875,,,,,,,,,
103,54256,1648,0.03396611072347809,0.75,0.75,,,,,,,,,
104,54784,1664,0.03232426204938349,0.75,0.75,,,,,,,,,
105,55312,1680,0.03423850572967382,0.625,0.625,0.03379497304440861,0.6875,0.6875,,,,,,
106,55840,1696,0.0383171940669223,0.5,0.5,,,,,,,,,
107,56368,1712,0.03043632059670358,0.75,0.75,,,,,,,,,
108,56896,1728,0.030620419460744876,0.625,0.625,,,,,,,,,
109,57424,1744,0.03358308024111124,0.625,0.625,,,,,,,,,
110,57952,1760,0.028635925976880684,0.875,0.875,,,,,,,,,
111,58480,1776,0.03340441131176931,0.6875,0.6875,,,,,,,,,
112,59008,1792,0.04100081652520487,0.5625,0.5625,,,,,,,,,
113,59536,1808,0.03679949120850552,0.625,0.625,0.03566220126000928,0.6875,0.6875,,,,,,
114,60064,1824,0.039967960118656845,0.5625,0.5625,,,,,,,,,
115,60592,1840,0.031548862251259496,0.6875,0.6875,,,,,,,,,
